participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
26,zdv4di5i,5a04ccfef2e3460001edadef,4,left,NA,NA,left,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,1,0,1,0,NA,option1B_tr.bmp,1,1,37,28,0,1,1,27,24,0.74,1.51,1.37,3,1.57,60,60,40,-240,-20,0,0,1,0,0,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,51,0.93,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
28,9dpc0my1,5a5a6ed7f6c517000195029e,4,right,right,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,29,28,0,1,1,40,37,0.56,2.57,1.82,0.43,0.49,40,40,1520,1280,1240,0,0,1,0,0,0,0,2,2,1,1,2,2,1,1,1,1,0,0,1,1,0,0,1,1,-1,-1,0,0,1,0,1,0,0,0,0,6,51,1.97,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
30,6nxl01h7,6692fcc54896e26c1dad62bb,4,NA,left,right,NA,1,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,0,1,0.75,0.25,option1A_tr.bmp,NA,0,1,37,40,1,0,1,31,34,0.93,3,3,1.13,1.82,-20,60,600,880,700,0,0,1,1,1,0,0,2,2,2,2,1,2,2,2,1,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,0,1,4,51,1.39,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
3,a3u4qf5m,671cf3faf9e7ffc0d41db198,1,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,1,1,48,48,0,1,1,37,37,0.47,1,2.11,2.28,0.52,60,60,700,760,740,0,0,1,0,0,0,0,2,2,1,2,2,2,2,1,1,1,0,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,5,52,0.73,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
4,y3p4a7uh,53a18b8ffdf99b79ca51df6e,5,right,left,NA,NA,2,2,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,1,0,37,32,1,1,0,30,25,0.44,0.88,3,0.66,0.8,40,-40,240,-140,240,0,0,-1,0,1,0,0,1,1,1,2,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,-1,-1,-1,-1,1,1,0,1,1,1,0,1,0,3,52,0.46,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
5,mq4tulsh,5ef6354b6d77930e716a2a1d,3,right,left,NA,NA,1,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,0.25,0.75,0.75,0.25,NA,NA,0,1,30,31,1,0,1,26,29,0.64,1.81,0.31,0.32,0.31,-20,40,-140,220,-80,0,0,1,0,0,0,0,1,2,2,2,2,2,2,1,0,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,1,0,2,52,0.76,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
6,wb9vq28v,65df337b8dc407fe8c4369c1,2,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,1,1,40,41,0,1,1,30,30,0.56,0.56,0.86,0.52,0.7,60,60,480,420,420,0,0,1,0,0,0,0,1,1,2,2,2,2,2,1,0,0,1,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,1,0,2,52,0.76,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
7,atkbxrri,545d347afdf99b7f9fca22c7,2,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,1,1,44,45,0,1,1,35,35,0.67,0.55,0.48,0.45,0.46,60,60,980,1000,980,0,0,1,0,0,0,0,2,2,1,2,2,2,2,1,1,1,0,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,5,52,0.73,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
8,9w8xkvz7,5b72e785fb359c0001d8f1c2,4,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,1,1,27,36,0,1,1,31,28,0.7,1.45,0.42,0.4,0.41,60,60,520,180,140,0,0,1,0,0,0,0,1,2,1,2,2,2,2,1,0,1,0,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,1,0,2,52,0.76,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
9,7usuwgrv,62714a240ed387f760f6741b,3,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.25,0.75,NA,NA,0,0,28,29,0,0,0,29,28,0.46,0.8,1.11,1.06,2.49,-60,-60,300,220,220,0,0,-1,0,0,0,0,1,1,2,2,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,-1,-1,-1,-1,1,1,1,0,1,1,1,0,0,3,52,0.46,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,52
