participant.label,trial,id_in_group,choice1,choice2,computer_choice1,computer_choice2,bet1,bet2,chosen_image_computer,chosen_image_computer_two,my_page_load_time,initial_choice_time,initial_bet_time,second_choice_time,second_bet_time,computer_choice_one,computer_bet_one,computer_choice_two,computer_bet_two
5f24a57c030da70af5ffd2bf,30,1,right,right,NA,NA,1,1,NA,NA,0.7,0.86,0.6,0.68,0.34,0,0,0,0
5f24a57c030da70af5ffd2bf,31,1,left,left,NA,NA,1,1,NA,NA,0.64,0.69,0.65,1.51,0.29,0,0,0,0
5f24a57c030da70af5ffd2bf,32,1,right,right,NA,NA,1,1,NA,NA,0.92,0.86,0.45,0.5,0.3,0,0,0,0
5f24a57c030da70af5ffd2bf,33,1,left,left,NA,NA,1,1,NA,NA,0.65,1.45,0.45,0.48,0.51,0,0,0,0
5f24a57c030da70af5ffd2bf,34,1,left,left,NA,NA,3,3,NA,NA,0.47,0.6,0.45,1.73,0.46,0,0,0,0
5f24a57c030da70af5ffd2bf,35,1,right,right,NA,NA,1,1,NA,NA,0.64,0.65,0.52,1.17,0.44,0,0,0,0
5f24a57c030da70af5ffd2bf,36,1,right,right,NA,NA,1,1,NA,NA,0.66,0.58,0.61,0.5,0.42,0,0,0,0
5f24a57c030da70af5ffd2bf,37,1,left,left,NA,NA,2,2,NA,NA,0.48,0.44,0.69,1.9,0.65,0,0,0,0
5f24a57c030da70af5ffd2bf,38,1,right,right,NA,NA,1,1,NA,NA,0.99,2.62,3,1.32,0.34,0,1,0,0
5f24a57c030da70af5ffd2bf,39,1,left,left,NA,NA,1,2,NA,NA,0.67,0.63,1.22,0.44,0.74,0,0,0,0
5f24a57c030da70af5ffd2bf,40,1,left,left,NA,NA,2,2,NA,NA,0.71,0.57,1.94,1.29,0.51,0,0,0,0
5f24a57c030da70af5ffd2bf,41,1,left,left,NA,NA,1,1,NA,NA,0.62,1.29,1.11,0.61,0.38,0,0,0,0
5f24a57c030da70af5ffd2bf,42,1,left,left,NA,NA,1,1,NA,NA,1.03,0.8,0.37,1.42,0.43,0,0,0,0
5f24a57c030da70af5ffd2bf,43,1,right,right,NA,NA,1,1,NA,NA,1.01,1.29,0.46,1.76,0.62,0,0,0,0
5f24a57c030da70af5ffd2bf,44,1,right,right,NA,NA,1,1,NA,NA,1.24,0.67,0.88,0.48,0.96,0,0,0,0
5f24a57c030da70af5ffd2bf,45,1,right,right,NA,NA,1,2,NA,NA,0.84,0.55,1,1.71,1.06,0,0,0,0
5f24a57c030da70af5ffd2bf,46,1,left,left,NA,NA,2,2,NA,NA,0.82,0.53,0.49,0.45,0.45,0,0,0,0
5f24a57c030da70af5ffd2bf,47,1,right,right,NA,NA,1,1,NA,NA,0.65,1.27,0.56,0.48,0.36,0,0,0,0
5f24a57c030da70af5ffd2bf,48,1,left,left,NA,NA,1,1,NA,NA,0.64,0.82,0.76,1.39,0.4,0,0,0,0
5f24a57c030da70af5ffd2bf,49,1,right,right,NA,NA,1,1,NA,NA,1.32,0.76,0.69,0.45,0.45,0,0,0,0
5f24a57c030da70af5ffd2bf,50,1,left,left,NA,NA,1,1,NA,NA,0.62,0.63,0.84,0.58,0.47,0,0,0,0
5f24a57c030da70af5ffd2bf,51,1,right,right,NA,NA,1,1,NA,NA,0.61,0.64,1.4,1.58,0.61,0,0,0,0
5f24a57c030da70af5ffd2bf,52,1,right,right,NA,NA,1,1,NA,NA,0.74,0.66,0.64,1.32,0.63,0,0,0,0
5f24a57c030da70af5ffd2bf,53,1,left,left,NA,NA,3,3,NA,NA,0.74,0.66,0.43,0.51,0.44,0,0,0,0
5f24a57c030da70af5ffd2bf,54,1,left,left,NA,NA,1,1,NA,NA,0.54,0.56,0.4,1.01,0.29,0,0,0,0
5f24a57c030da70af5ffd2bf,55,1,right,right,NA,NA,1,1,NA,NA,0.73,0.67,0.96,0.55,0.31,0,0,0,0
5f24a57c030da70af5ffd2bf,56,1,right,right,NA,NA,1,1,NA,NA,0.57,0.7,0.56,0.39,0.34,0,0,0,0
5f24a57c030da70af5ffd2bf,57,1,right,right,NA,NA,1,1,NA,NA,0.74,1.2,0.46,0.32,0.27,0,0,0,0
5f24a57c030da70af5ffd2bf,58,1,left,left,NA,NA,1,1,NA,NA,0.51,0.5,0.74,0.4,0.33,0,0,0,0
5f24a57c030da70af5ffd2bf,59,1,left,left,NA,NA,1,1,NA,NA,0.54,0.54,0.68,1.46,0.32,0,0,0,0
5f24a57c030da70af5ffd2bf,60,1,left,left,NA,NA,1,1,NA,NA,0.57,1.18,0.47,0.72,0.28,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5f305c9cf7fabe4adaf0de5d,11,4,right,right,NA,NA,3,3,NA,NA,0.6,0.55,1.45,1.68,1.48,0,0,0,0
5f305c9cf7fabe4adaf0de5d,12,4,right,right,NA,NA,3,3,NA,NA,0.68,0.33,0.3,0.26,2.6,0,0,0,0
5f305c9cf7fabe4adaf0de5d,13,4,left,left,NA,NA,3,3,NA,NA,0.64,0.29,0.78,0.36,2.03,0,0,0,0
5f305c9cf7fabe4adaf0de5d,14,4,left,left,NA,NA,3,3,NA,NA,0.74,0.34,0.03,0.25,0.47,0,0,0,0
5f305c9cf7fabe4adaf0de5d,15,4,right,right,NA,NA,3,3,NA,NA,0.59,0.35,1.23,0.33,0.42,0,0,0,0
5f305c9cf7fabe4adaf0de5d,16,4,right,right,NA,NA,3,3,NA,NA,0.71,0.39,2.46,0.23,0.01,0,0,0,0
5f305c9cf7fabe4adaf0de5d,17,4,right,right,NA,NA,3,3,NA,NA,0.75,0.39,0.19,0.4,0.58,0,0,0,0
5f305c9cf7fabe4adaf0de5d,18,4,left,left,NA,NA,3,3,NA,NA,0.69,0.41,0.15,0.23,0.13,0,0,0,0
5f305c9cf7fabe4adaf0de5d,19,4,left,left,NA,NA,3,3,NA,NA,0.72,0.48,0.25,0.34,2.96,0,0,0,0
5f305c9cf7fabe4adaf0de5d,20,4,left,left,NA,NA,3,3,NA,NA,0.81,0.44,0.21,0.32,0.15,0,0,0,0
5f305c9cf7fabe4adaf0de5d,21,4,right,right,NA,NA,3,3,NA,NA,0.58,0.29,0.03,1.52,0.91,0,0,0,0
5f305c9cf7fabe4adaf0de5d,22,4,right,right,NA,NA,3,3,NA,NA,0.83,0.54,0.05,0.22,0.09,0,0,0,0
5f305c9cf7fabe4adaf0de5d,23,4,left,left,NA,NA,3,3,NA,NA,0.62,0.27,0.13,0.26,2.5,0,0,0,0
5f305c9cf7fabe4adaf0de5d,24,4,left,left,NA,NA,3,3,NA,NA,0.64,0.3,0.27,0.24,0.06,0,0,0,0
5f305c9cf7fabe4adaf0de5d,25,4,left,left,NA,NA,3,3,NA,NA,0.74,0.25,0.03,0.26,0.01,0,0,0,0
5f305c9cf7fabe4adaf0de5d,26,4,left,left,NA,NA,3,3,NA,NA,0.64,0.79,0.09,0.2,2.5,0,0,0,0
5f305c9cf7fabe4adaf0de5d,27,4,left,left,NA,NA,3,3,NA,NA,0.65,2.89,1.71,0.3,2.11,0,0,0,0
5f305c9cf7fabe4adaf0de5d,28,4,right,right,NA,NA,3,3,NA,NA,0.79,0.28,0.32,0.43,0.1,0,0,0,0
5f305c9cf7fabe4adaf0de5d,29,4,right,right,NA,NA,3,3,NA,NA,0.71,0.49,0.01,0.31,2.38,0,0,0,0
5f305c9cf7fabe4adaf0de5d,30,4,right,right,NA,NA,1,1,NA,NA,0.63,0.35,0.05,0.38,0.04,0,0,0,0
5f305c9cf7fabe4adaf0de5d,31,4,left,left,NA,NA,3,3,NA,NA,0.65,0.56,0.09,0.43,0.09,0,0,0,0
5f305c9cf7fabe4adaf0de5d,32,4,left,left,NA,NA,3,3,NA,NA,0.69,0.3,3,0.28,0.09,0,1,0,0
5f305c9cf7fabe4adaf0de5d,33,4,left,right,NA,NA,3,3,NA,NA,0.6,0.32,0.11,0.44,0.11,0,0,0,0
5f305c9cf7fabe4adaf0de5d,34,4,left,left,NA,NA,3,3,NA,NA,0.7,0.51,0.19,0.37,0.02,0,0,0,0
5f305c9cf7fabe4adaf0de5d,35,4,left,right,NA,NA,3,3,NA,NA,0.72,0.44,0.14,0.26,0.18,0,0,0,0
5f305c9cf7fabe4adaf0de5d,36,4,left,right,NA,NA,3,3,NA,NA,0.79,0.79,0.58,0.39,0.02,0,0,0,0
5f305c9cf7fabe4adaf0de5d,37,4,right,right,NA,NA,3,3,NA,NA,0.73,1.87,1.05,0.02,0.02,0,0,0,0
5f305c9cf7fabe4adaf0de5d,38,4,right,right,NA,NA,3,3,NA,NA,0.57,0.5,0.02,0.34,0.03,0,0,0,0
5f305c9cf7fabe4adaf0de5d,39,4,right,right,NA,NA,3,3,NA,NA,0.72,0.46,0.08,0.29,0.03,0,0,0,0
5f305c9cf7fabe4adaf0de5d,40,4,left,left,NA,NA,3,3,NA,NA,0.59,0.36,2.92,0.27,0.14,0,0,0,0
5f305c9cf7fabe4adaf0de5d,41,4,left,left,NA,NA,3,3,NA,NA,0.63,0.26,0.29,0.48,0.23,0,0,0,0
5f305c9cf7fabe4adaf0de5d,42,4,left,left,NA,NA,3,3,NA,NA,0.72,0.46,0.09,0.12,0.02,0,0,0,0
5f305c9cf7fabe4adaf0de5d,43,4,left,left,NA,NA,3,3,NA,NA,0.62,0.33,0.01,0.28,0.29,0,0,0,0
5f305c9cf7fabe4adaf0de5d,44,4,right,right,NA,NA,3,3,NA,NA,0.75,0.3,0.13,0.48,0.2,0,0,0,0
5f305c9cf7fabe4adaf0de5d,45,4,right,right,NA,NA,3,3,NA,NA,0.74,0.77,0.25,0.35,0.14,0,0,0,0
5f305c9cf7fabe4adaf0de5d,46,4,right,right,NA,NA,3,3,NA,NA,0.83,0.59,0.13,0.27,0.28,0,0,0,0
5f305c9cf7fabe4adaf0de5d,47,4,left,left,NA,NA,3,3,NA,NA,0.97,0.33,0.03,0.25,0.08,0,0,0,0
5f305c9cf7fabe4adaf0de5d,48,4,left,left,NA,NA,3,3,NA,NA,0.71,2.09,0.96,0.1,0.06,0,0,0,0
5f305c9cf7fabe4adaf0de5d,49,4,left,left,NA,NA,3,3,NA,NA,0.79,0.4,0.06,0.42,0.05,0,0,0,0
5f305c9cf7fabe4adaf0de5d,50,4,right,right,NA,NA,3,3,NA,NA,1.2,0.29,0.01,0.31,0.17,0,0,0,0
5f305c9cf7fabe4adaf0de5d,51,4,right,right,NA,NA,3,3,NA,NA,0.65,0.25,0.08,0.49,0.08,0,0,0,0
5f305c9cf7fabe4adaf0de5d,52,4,right,right,NA,NA,3,3,NA,NA,0.73,0.38,3,0.33,2.15,0,1,0,0
5f305c9cf7fabe4adaf0de5d,53,4,right,right,NA,NA,3,3,NA,NA,0.7,0.41,2.69,0.26,2.87,0,0,0,0
5f305c9cf7fabe4adaf0de5d,54,4,right,right,NA,NA,3,3,NA,NA,0.78,0.39,0.38,0.28,0,0,0,0,0
5f305c9cf7fabe4adaf0de5d,55,4,left,left,NA,NA,3,3,NA,NA,1.22,0.66,0.16,0.26,2.3,0,0,0,0
5f305c9cf7fabe4adaf0de5d,56,4,left,left,NA,NA,3,3,NA,NA,0.78,0.3,0.78,0.44,0.06,0,0,0,0
5f305c9cf7fabe4adaf0de5d,57,4,left,left,NA,NA,3,3,NA,NA,0.67,0.27,0.43,0.26,0.44,0,0,0,0
5f305c9cf7fabe4adaf0de5d,58,4,right,right,NA,NA,3,3,NA,NA,0.7,0.24,0.04,1.22,0.58,0,0,0,0
5f305c9cf7fabe4adaf0de5d,59,4,right,right,NA,NA,3,3,NA,NA,1.21,3,2.32,0.26,0.38,0,0,0,0
5f305c9cf7fabe4adaf0de5d,60,4,right,right,NA,NA,3,3,NA,NA,0.68,0.47,0.26,0.25,0.11,0,0,0,0
6274f9115634950cf5970f1c,1,2,left,left,NA,NA,1,1,NA,NA,0.32,1.62,1.24,1.31,1.34,0,0,0,0
6274f9115634950cf5970f1c,2,2,left,left,NA,NA,3,3,NA,NA,0.57,1.06,0.52,0.42,0.66,0,0,0,0
6274f9115634950cf5970f1c,3,2,right,right,NA,NA,3,3,NA,NA,1,0.88,0.5,0.57,0.43,0,0,0,0
6274f9115634950cf5970f1c,4,2,left,left,NA,NA,3,3,NA,NA,0.74,0.71,0.5,0.96,0.52,0,0,0,0
6274f9115634950cf5970f1c,5,2,left,left,NA,NA,3,3,NA,NA,0.42,1.08,0.77,0.65,0.37,0,0,0,0
6274f9115634950cf5970f1c,6,2,right,right,NA,NA,3,3,NA,NA,0.66,0.88,0.67,0.35,0.65,0,0,0,0
6274f9115634950cf5970f1c,7,2,left,left,NA,NA,3,3,NA,NA,0.46,0.91,0.92,0.37,0.53,0,0,0,0
6274f9115634950cf5970f1c,8,2,left,left,NA,NA,3,3,NA,NA,0.67,0.91,1.53,0.88,0.47,0,0,0,0
6274f9115634950cf5970f1c,9,2,right,right,NA,NA,3,3,NA,NA,0.92,0.51,3,1.41,0.76,0,1,0,0
6274f9115634950cf5970f1c,10,2,left,left,NA,NA,3,3,NA,NA,0.58,0.76,0.44,0.72,0.41,0,0,0,0
6274f9115634950cf5970f1c,11,2,right,right,NA,NA,3,1,NA,NA,0.6,0.6,0.53,0.54,3,0,0,0,1
6274f9115634950cf5970f1c,12,2,right,right,NA,NA,3,3,NA,NA,0.5,0.64,0.52,0.25,0.38,0,0,0,0
6274f9115634950cf5970f1c,13,2,left,left,NA,NA,3,3,NA,NA,0.43,0.6,0.85,1.23,0.55,0,0,0,0
6274f9115634950cf5970f1c,14,2,left,left,NA,NA,3,3,NA,NA,0.5,0.72,0.58,0.29,0.49,0,0,0,0
6274f9115634950cf5970f1c,15,2,left,left,NA,NA,3,3,NA,NA,0.47,1.03,0.56,0.29,0.42,0,0,0,0
6274f9115634950cf5970f1c,16,2,left,left,NA,NA,3,3,NA,NA,0.55,0.91,1,0.3,0.48,0,0,0,0
6274f9115634950cf5970f1c,17,2,right,right,NA,NA,3,3,NA,NA,0.67,0.69,0.56,0.3,0.5,0,0,0,0
6274f9115634950cf5970f1c,18,2,left,left,NA,NA,3,3,NA,NA,0.46,0.74,0.87,0.06,0.43,0,0,0,0
6274f9115634950cf5970f1c,19,2,right,right,NA,NA,3,3,NA,NA,0.62,0.47,1.73,0.36,0.39,0,0,0,0
6274f9115634950cf5970f1c,20,2,right,right,NA,NA,3,3,NA,NA,0.72,0.78,0.49,0.31,0.57,0,0,0,0
6274f9115634950cf5970f1c,21,2,left,left,NA,NA,3,3,NA,NA,0.5,0.67,0.74,2.04,0.68,0,0,0,0
6274f9115634950cf5970f1c,22,2,left,left,NA,NA,3,3,NA,NA,0.5,0.48,1.08,1.07,0.52,0,0,0,0
6274f9115634950cf5970f1c,23,2,left,left,NA,NA,3,3,NA,NA,0.51,0.81,0.73,0.81,0.41,0,0,0,0
6274f9115634950cf5970f1c,24,2,left,left,NA,NA,3,3,NA,NA,0.54,0.67,1.1,0.82,0.4,0,0,0,0
6274f9115634950cf5970f1c,25,2,left,left,NA,NA,3,3,NA,NA,0.69,0.59,0.53,0.39,0.64,0,0,0,0
6274f9115634950cf5970f1c,26,2,left,left,NA,NA,3,3,NA,NA,0.47,0.73,0.48,0.72,0.27,0,0,0,0
6274f9115634950cf5970f1c,27,2,right,right,NA,NA,3,3,NA,NA,0.65,0.52,0.59,0.37,0.39,0,0,0,0
6274f9115634950cf5970f1c,28,2,right,right,NA,NA,3,3,NA,NA,0.67,0.57,0.98,0.39,0.38,0,0,0,0
6274f9115634950cf5970f1c,29,2,right,right,NA,NA,3,3,NA,NA,0.61,1.91,2.47,1.13,0.6,0,0,0,0
6274f9115634950cf5970f1c,30,2,right,right,NA,NA,3,3,NA,NA,0.57,1.09,1.23,0.84,0.49,0,0,0,0
6274f9115634950cf5970f1c,31,2,right,right,NA,NA,3,3,NA,NA,0.48,0.67,0.45,0.53,0.35,0,0,0,0
6274f9115634950cf5970f1c,32,2,left,left,NA,NA,3,3,NA,NA,0.46,0.81,0.43,0.5,0.39,0,0,0,0
6274f9115634950cf5970f1c,33,2,left,left,NA,NA,3,3,NA,NA,0.49,0.61,0.73,0.48,0.63,0,0,0,0
6274f9115634950cf5970f1c,34,2,NA,right,right,NA,2,2,option1B_tr.bmp,NA,0.48,3,1.54,0.58,0.6,1,0,0,0
6274f9115634950cf5970f1c,35,2,left,left,NA,NA,1,1,NA,NA,0.65,0.62,0.38,0.93,0.59,0,0,0,0
6274f9115634950cf5970f1c,36,2,left,left,NA,NA,3,3,NA,NA,0.6,0.52,0.32,0.31,0.9,0,0,0,0
6274f9115634950cf5970f1c,37,2,left,left,NA,NA,3,3,NA,NA,0.49,0.62,0.4,0.25,0.29,0,0,0,0
6274f9115634950cf5970f1c,38,2,left,left,NA,NA,3,3,NA,NA,0.46,0.6,0.42,0.29,0.35,0,0,0,0
6274f9115634950cf5970f1c,39,2,right,right,NA,NA,3,3,NA,NA,0.74,2.04,0.6,0.42,0.4,0,0,0,0
6274f9115634950cf5970f1c,40,2,right,right,NA,NA,3,3,NA,NA,0.56,1.21,0.75,0.33,0.39,0,0,0,0
6274f9115634950cf5970f1c,41,2,left,left,NA,NA,3,3,NA,NA,0.47,1.3,0.55,0.32,0.43,0,0,0,0
6274f9115634950cf5970f1c,42,2,right,right,NA,NA,3,3,NA,NA,0.49,1.04,0.51,0.29,0.36,0,0,0,0
