participant.label,participant.id_in_session,group.trial_number,is_consecutive,choice_switch_across_trials,outcome_value,switch_difference,consensus_numeric,consensus_level,direction,trial_type
5f2fcda9700ba6032442db9c,377,55,TRUE,1,100,1,1,3:1,Against group,Switch
5c7c38999f29bd0001349ca9,379,55,TRUE,1,100,1,2,4:0,Against group,Switch
663791040de5898120ca93cd,380,55,TRUE,1,0,1,1,3:1,Against group,Switch
59479251f236120001ecf9a2,381,55,TRUE,1,100,1,1,3:1,With group,Switch
60b3950b9a1de417d37bb8d2,382,55,TRUE,1,0,1,0,2:2,Against group,Switch
666f1aec64844fbd48cd89b8,383,55,TRUE,1,0,1,1,3:1,With group,Switch
5e11bda11e2e5885070a0b22,384,55,TRUE,0,0,0,0,2:2,Against group,Stay
677833b592e5cc616ab5f35f,386,55,TRUE,0,0,0,1,3:1,Against group,Stay
66e0184c55c6299d2c7c0101,387,55,TRUE,0,100,0,2,4:0,Against group,Stay
65031d5ca9f619d9e0412f0a,390,55,TRUE,0,100,0,1,3:1,Against group,Stay
6773d48f1875062d8ac2c68d,391,55,TRUE,0,0,0,1,3:1,With group,Stay
59dccd61e75b450001a689b7,392,55,TRUE,0,100,0,1,3:1,With group,Stay
5932e2c8b97ad00001745487,393,55,TRUE,0,0,0,1,3:1,With group,Stay
6146f8473af59b2f858aa2f2,395,55,TRUE,1,0,1,0,2:2,Against group,Switch
65b0221481be9840cf46c89f,396,55,TRUE,0,0,0,1,3:1,With group,Stay
5dee265613911c4bb3c0ac7e,398,55,TRUE,1,0,1,1,3:1,With group,Switch
63174af7d57182f9bf90c094,402,55,TRUE,0,0,0,1,3:1,Against group,Stay
6730f2e20f5915ff4ad2c07d,404,55,TRUE,1,100,1,0,2:2,Against group,Switch
63d53d53a7a7b0379ba289cf,405,55,TRUE,0,0,0,0,2:2,Against group,Stay
6266a4e5846e1e41812a0432,406,55,TRUE,0,100,0,1,3:1,Against group,Stay
676d70fb609bf3532889f9f8,407,55,TRUE,1,0,1,0,2:2,Against group,Switch
5cf765f7b026f40001fe1bc6,408,55,TRUE,1,100,1,1,3:1,Against group,Switch
60886f033e4f5c214da0c898,409,55,TRUE,1,100,1,0,2:2,Against group,Switch
665971fc694c72b87647f8c9,412,55,TRUE,0,0,0,0,2:2,Against group,Stay
63d3f953f8fb0fe970f0d0c6,413,55,TRUE,1,100,1,0,2:2,Against group,Switch
58713c5e58ca4c00018ce3ea,415,55,TRUE,0,0,0,1,3:1,Against group,Stay
5c5c8b70758f310001ed429a,416,55,TRUE,1,100,1,0,2:2,Against group,Switch
671ce69ff883fe3c3ae81cdf,417,55,TRUE,1,0,1,0,2:2,Against group,Switch
5ee637a18976fc391312fe01,419,55,TRUE,1,100,1,0,2:2,Against group,Switch
677c2fc7d34ead450c40271e,420,55,TRUE,1,100,1,0,2:2,Against group,Switch
6169ea2f9163a46bf5f356e2,423,55,TRUE,0,0,0,1,3:1,Against group,Stay
66d890366a2497885067a8f8,425,55,TRUE,0,0,0,0,2:2,Against group,Stay
62ac71cec3309a48781684eb,427,55,TRUE,0,100,0,1,3:1,Against group,Stay
67713deebb236b91f2cd106a,429,55,TRUE,0,0,0,1,3:1,Against group,Stay
6658b1bc9b9cd1a0f1a2538b,430,55,TRUE,0,100,0,1,3:1,Against group,Stay
6725c4a8e3ab0787551acf38,432,55,TRUE,1,0,1,0,2:2,Against group,Switch
67390dd94909abc2cafc84da,434,55,TRUE,0,0,0,1,3:1,Against group,Stay
5b8bf5dd7b334200011da4aa,442,55,TRUE,0,100,0,2,4:0,With group,Stay
5797564b70c76a0001245734,443,55,TRUE,1,0,1,1,3:1,Against group,Switch
5ea00a8a39c0f00008064b2b,444,55,TRUE,1,0,1,0,2:2,Against group,Switch
676998e4f6daae6e1a643595,447,55,TRUE,0,100,0,0,2:2,Against group,Stay
66cf346c8d197fa5b7fe6207,451,55,TRUE,1,100,1,2,4:0,With group,Switch
648495d7f7f8e6efc7759484,453,55,TRUE,0,100,0,2,4:0,With group,Stay
62a1d88a5d0482a69726950c,454,55,TRUE,0,100,0,2,4:0,With group,Stay
667987ee48ef12debe279619,463,55,TRUE,0,0,0,1,3:1,Against group,Stay
622a35c96d9060c175184c93,466,55,TRUE,0,100,0,2,4:0,With group,Stay
66502c8dc29366cf9a8b372f,468,55,TRUE,0,100,0,0,2:2,Against group,Stay
66bfd3867e3dd5e2c19650b9,1,56,TRUE,1,100,1,0,2:2,Against group,Switch
647849063b9fd9be24803727,3,56,TRUE,1,100,1,1,3:1,Against group,Switch
666d914c8a386185e18db071,4,56,TRUE,1,0,1,1,3:1,Against group,Switch
673f6ffebce20832346325de,5,56,TRUE,1,0,1,1,3:1,Against group,Switch
665d5a08c8e61c18498d08c9,6,56,TRUE,0,100,0,0,2:2,Against group,Stay
6426cfe964863ee2ff26642f,7,56,TRUE,0,0,0,1,3:1,Against group,Stay
5fbccd88199e4319f7a988d2,10,56,TRUE,0,100,0,0,2:2,Against group,Stay
62f3b543dce069211e8e982c,11,56,TRUE,0,0,0,0,2:2,Against group,Stay
6173c5b0aa4bc2370fd2c1f2,12,56,TRUE,0,100,0,0,2:2,Against group,Stay
63c80a427dfa1305502df5a8,13,56,TRUE,0,0,0,0,2:2,Against group,Stay
6765877a0722b290bb4ab344,14,56,TRUE,0,100,0,1,3:1,Against group,Stay
6534cceb3847273f3c9b8239,15,56,TRUE,0,100,0,0,2:2,Against group,Stay
604541676af7216614098dde,16,56,TRUE,0,0,0,0,2:2,Against group,Stay
5c4f5967aac8be0001716a65,17,56,TRUE,1,0,1,1,3:1,Against group,Switch
660453c9877e571d12b555f7,43,56,TRUE,0,100,0,2,4:0,Against group,Stay
664212577c09653c94741aab,51,56,TRUE,0,100,0,0,2:2,Against group,Stay
6266b0409582f553a3e10d9a,53,56,TRUE,0,0,0,1,3:1,With group,Stay
67607c67fcf3f8b4093a8356,57,56,TRUE,0,100,0,0,2:2,Against group,Stay
6760765e6a687b2878284f5e,58,56,TRUE,1,0,1,1,3:1,With group,Switch
5bb7abf3c190e20001e5c2c8,59,56,TRUE,1,100,1,1,3:1,Against group,Switch
666a1e606b80f9865c1f3d5f,60,56,TRUE,1,0,1,1,3:1,With group,Switch
6753746b1f8827e2bd586bf0,61,56,TRUE,0,0,0,1,3:1,Against group,Stay
5c921106b788a2000170709f,63,56,TRUE,0,100,0,0,2:2,Against group,Stay
5f450738ab827a05e739ef40,64,56,TRUE,0,100,0,1,3:1,With group,Stay
5d7a1fce27fb8a000196993e,99,56,TRUE,0,100,0,2,4:0,With group,Stay
5a7226d9f660ae0001a9a547,101,56,TRUE,0,100,0,2,4:0,With group,Stay
672f246d1d67d71960402ef8,102,56,TRUE,0,100,0,2,4:0,With group,Stay
5d66f49c531d6e0001e99e8a,103,56,TRUE,0,100,0,2,4:0,With group,Stay
5fed47cfcb429d79af4f8ded,104,56,TRUE,0,100,0,1,3:1,With group,Stay
614e4f5af7eba1c013541155,106,56,TRUE,1,0,1,1,3:1,With group,Switch
62b626b7cc2365d4e7f5c5aa,107,56,TRUE,0,0,0,1,3:1,With group,Stay
670128e69d2576c4828a706e,108,56,TRUE,0,0,0,1,3:1,With group,Stay
66bbafb05de7e549455aa4ff,110,56,TRUE,0,100,0,2,4:0,With group,Stay
667a9bdad0e1a943ee3d04bb,112,56,TRUE,0,100,0,2,4:0,Against group,Stay
5eca536f9aa4f658d641a7d9,122,56,TRUE,0,0,0,1,3:1,Against group,Stay
57b248d52075e2000113ba3d,125,56,TRUE,0,100,0,0,2:2,Against group,Stay
596e1edd39e9d00001b7bb98,126,56,TRUE,0,100,0,0,2:2,Against group,Stay
5b0b369230d5620001553596,127,56,TRUE,0,100,0,0,2:2,Against group,Stay
5af32f9d003f6c0001f2905b,131,56,TRUE,0,0,0,1,3:1,Against group,Stay
5bf7be3abd1fd30001aa5498,152,56,TRUE,0,100,0,2,4:0,With group,Stay
629b3b3c89d490460eacbfbc,153,56,TRUE,0,100,0,2,4:0,With group,Stay
6773d73519c6135fee11ae3d,154,56,TRUE,1,0,1,0,2:2,Against group,Switch
670ffdb6896bad5ab5d6f894,155,56,TRUE,1,0,1,0,2:2,Against group,Switch
66854ca22a0b1e7e87b469a4,157,56,TRUE,0,100,0,1,3:1,Against group,Stay
59772a6c5cde890001dc01a0,158,56,TRUE,1,100,1,1,3:1,With group,Switch
67772cab4247719f8cb639b2,159,56,TRUE,0,100,0,1,3:1,With group,Stay
5623d483ed6e5a0005c803de,163,56,TRUE,0,100,0,1,3:1,Against group,Stay
6659fbe836e30024b47db6cd,164,56,TRUE,0,100,0,2,4:0,With group,Stay
5d80167240f91c001acbb0a2,165,56,TRUE,0,100,0,0,2:2,Against group,Stay
5a840fcfb093f80001a7cf78,166,56,TRUE,0,100,0,1,3:1,With group,Stay
5f674b595c87a8334c381ae7,167,56,TRUE,0,0,0,1,3:1,Against group,Stay
58404fd8ad98e40001ce915f,169,56,TRUE,0,100,0,1,3:1,With group,Stay
