participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,ilvocnr8,66cdd069637121e241f7a40a,0,278,278,submission,Submit,2025-02-05 12:00:41.547855,1,,,0.0,5,,0.0,left,left,,,2,1,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,1,3,2,2,,,0,0,0,0,0,0.34,0.34,0.74,0.35,1.82,0.73,-40,-20,-120,-260,-200,10.0,0.0,0.0,-1,0,0,0,0,1,1,1,2,1,1,2,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1738758584.7377102,1738758594.8639684,0,3,1,39,1.62,1,0,5000,1,1738758606490.44,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},39,d6lvy1ol,,,,,0
12,sla165sp,5aa696af6219a30001c75d2a,0,278,278,submission,Submit,2025-02-05 12:00:50.755104,1,,,0.0,5,,0.0,right,right,,,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,3,1,,,1,1,0,1,1,1.23,1.23,1.01,3.0,0.66,1.08,60,40,-80,220,-40,10.0,0.0,0.0,1,0,1,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1738758292.9913857,1738758303.292812,0,2,1,39,1.23,1,0,5000,1,1738758315195.4211,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},39,d6lvy1ol,,,,,0
13,sy2jizw1,5e1b6da99debf5393dfba2dc,0,12,278,practice_task,WaitPage1,2025-02-05 12:01:05.541355,1,,,0.0,13,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
14,c6jit37a,5aa297fe1ade740001b94bb7,0,12,278,practice_task,WaitPage1,2025-02-05 12:02:50.470559,1,,,0.0,14,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
15,inywr80n,5c9f46a912505500018d191b,0,4,278,instructions,TaskInstructionsPage1,2025-02-05 12:16:07.780796,1,,,0.0,15,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
16,7vbggryl,,0,0,278,,,,0,,,0.0,16,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
17,55xz493m,,0,0,278,,,,0,,,0.0,17,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
18,o7o3dfqr,,0,0,278,,,,0,,,0.0,18,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
19,2jqa0u9a,,0,0,278,,,,0,,,0.0,19,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
20,o6ydcay7,,0,0,278,,,,0,,,0.0,20,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},39,d6lvy1ol,,,,,0
1,zcf1egr7,5c4338d8a04c050001a0a876,0,278,278,submission,Submit,2025-02-05 11:50:45.966159,1,,,0.0,2,,0.0,right,right,,,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,4,0,4,0,,,1,1,0,1,1,0.86,0.86,1.36,0.66,0.51,0.41,60,60,360,160,160,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758315.9947565,1738758336.2604947,0,2,1,40,1.03,1,0,5000,1,1738758338125.0881,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
2,0r57elef,607d6e86f96c147cf2b3223c,0,278,278,submission,Submit,2025-02-05 11:59:52.669938,1,,,0.0,1,,0.0,left,left,,,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,4,0,4,0,,,1,1,0,1,1,0.61,0.61,0.43,0.44,0.61,0.53,60,60,320,380,440,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758315.8741205,1738758325.9854324,0,2,1,40,1.03,1,0,5000,1,1738758338125.0881,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
3,uro33w1j,5e3c759575109a055e99b38a,0,278,278,submission,Submit,2025-02-05 12:00:04.597039,1,,,0.0,2,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,2,2,3,1,,,1,1,0,1,1,0.43,0.43,0.71,0.55,0.33,0.33,40,40,240,220,260,10.0,0.0,0.0,1,0,0,0,0,2,2,1,1,2,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758606.947663,1738758617.0840468,0,3,1,40,0.99,1,0,5000,1,1738758629293.2827,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
4,v5uzjzeq,67862f57b5350ebed10fac1f,0,278,278,submission,Submit,2025-02-05 12:00:08.722873,1,,,0.0,3,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,4,0,4,0,,,1,1,0,1,1,0.63,0.63,0.49,0.38,0.36,0.3,40,40,300,300,320,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758315.813541,1738758325.9993432,0,2,1,40,1.03,1,0,5000,1,1738758338125.0881,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
5,r0epnh5n,622bb4f79c52ad04bb91e752,0,278,278,submission,Submit,2025-02-05 12:00:12.160237,1,,,0.0,4,,0.0,right,right,,,1,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,2,2,3,1,,,1,1,0,1,1,0.99,0.99,0.75,0.42,0.44,0.48,20,40,-100,60,120,10.0,0.0,0.0,1,0,0,0,0,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758607.4867077,1738758617.7382357,0,3,1,40,0.99,1,0,5000,1,1738758629293.2827,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
6,c8le880w,66095082185479f7db42d782,0,278,278,submission,Submit,2025-02-05 12:00:21.436295,1,,,0.0,4,,0.0,left,left,,,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,4,0,4,0,,,1,1,0,1,1,0.74,0.74,0.43,0.39,0.3,0.27,60,60,-300,-100,-80,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758315.9488692,1738758326.107523,0,2,1,40,1.03,1,0,5000,1,1738758338125.0881,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
7,fe87ewee,610d4df86c4abc6b5ced6fa0,0,278,278,submission,Submit,2025-02-05 12:00:22.787471,1,,,0.0,3,,0.0,right,left,,,3,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,1,3,3,1,,,0,1,1,0,1,0.81,0.81,1.59,1.36,0.58,0.02,-60,40,-280,0,-620,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758607.137631,1738758617.5279765,0,3,1,40,0.99,1,0,5000,1,1738758629293.2827,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
8,vmj6j5sf,5e3024d69366c7000c4025ff,0,278,278,submission,Submit,2025-02-05 12:00:26.939095,1,,,0.0,1,,0.0,right,right,,,2,3,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,1,3,0,4,,,0,0,0,0,0,0.66,0.66,0.97,1.44,0.43,0.54,-40,-60,200,-500,-160,10.0,0.0,0.0,-1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758607.0766745,1738758627.3123107,0,3,1,40,0.99,1,0,5000,1,1738758629293.2827,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
9,ljjdyf5m,607f63ce9ffa404fca0400a9,0,12,278,practice_task,WaitPage1,2025-02-05 12:00:38.595190,1,,,0.0,9,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},40,d6lvy1ol,,,,,0
10,rdw7kh1f,5d08aa3601331e0001b48923,0,12,278,practice_task,WaitPage1,2025-02-05 12:00:40.647620,1,,,0.0,10,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},40,d6lvy1ol,,,,,0
11,ilvocnr8,66cdd069637121e241f7a40a,0,278,278,submission,Submit,2025-02-05 12:00:41.547855,1,,,0.0,5,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,2,2,3,1,,,1,1,0,1,1,0.38,0.38,2.56,2.1,0.79,1.58,40,40,-80,-220,-160,10.0,0.0,0.0,1,0,0,0,0,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758606.9098246,1738758617.0307357,0,3,1,40,0.99,1,0,5000,1,1738758629293.2827,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
12,sla165sp,5aa696af6219a30001c75d2a,0,278,278,submission,Submit,2025-02-05 12:00:50.755104,1,,,0.0,5,,0.0,right,right,,,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,4,0,4,0,,,1,1,0,1,1,1.03,1.03,0.74,1.59,1.29,1.41,40,40,-40,260,0,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1738758316.152347,1738758336.4286811,0,2,1,40,1.03,1,0,5000,1,1738758338125.0881,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},40,d6lvy1ol,,,,,0
13,sy2jizw1,5e1b6da99debf5393dfba2dc,0,12,278,practice_task,WaitPage1,2025-02-05 12:01:05.541355,1,,,0.0,13,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},40,d6lvy1ol,,,,,0
14,c6jit37a,5aa297fe1ade740001b94bb7,0,12,278,practice_task,WaitPage1,2025-02-05 12:02:50.470559,1,,,0.0,14,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},40,d6lvy1ol,,,,,0
