Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67b8504e5b8254ef9ffd661a,5c5c8b70758f310001ed429a,APPROVED,Not Applicable,2025-02-21T10:07:10.583000Z,2025-02-21T10:07:45.624000Z,2025-02-21T10:07:48.026000Z,2025-02-21T10:07:46.537624Z,36.0,CT07DN9I,2324,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67b8507b0ac1defadd456161,66a41543adadffb17baf40b8,APPROVED,Not Applicable,2025-02-21T10:07:55.688000Z,2025-02-21T10:08:36.117000Z,2025-02-21T10:08:38.956000Z,2025-02-21T10:08:36.972450Z,41.0,CT07DN9I,613,English,48,Male,Black,Sweden,United Kingdom,Sweden,English,No,Full-Time
67b8508ef90e4da03eaf8bd8,6658d105095fc1ce71c51d57,APPROVED,Not Applicable,2025-02-21T10:09:53.344000Z,2025-02-21T10:10:27.117000Z,2025-02-21T10:10:27.773000Z,2025-02-21T10:10:27.685976Z,34.0,CT07DN9I,450,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
67b85099e22555483103ccad,675c50222eb6fffa19afed8c,RETURNED,Not Applicable,2025-02-21T10:18:25.215000Z,,,2025-02-21T10:30:03.353604Z,,,139,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b850bd75572766e69fe262,5cec2831539ced0017fbc5f4,RETURNED,Not Applicable,2025-02-21T10:19:01.178000Z,,,2025-02-21T10:30:03.320589Z,,,2335,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b851052c650c7ceab9d840,63d53d53a7a7b0379ba289cf,APPROVED,Not Applicable,2025-02-21T10:10:22.254000Z,2025-02-21T10:11:43.608000Z,2025-02-21T10:11:44.602000Z,2025-02-21T10:11:44.512626Z,82.0,CT07DN9I,1964,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
67b85128f4faa0dc5e70cc26,665971fc694c72b87647f8c9,APPROVED,Not Applicable,2025-02-21T10:11:00.536000Z,2025-02-21T10:11:20.106000Z,2025-02-21T10:15:11.805000Z,2025-02-21T10:11:20.850409Z,20.0,CT07DN9I,339,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b85185c92cc376c64c37e1,6725c4a8e3ab0787551acf38,APPROVED,Not Applicable,2025-02-21T10:13:03.577000Z,2025-02-21T10:13:48.592000Z,2025-02-21T10:13:49.669000Z,2025-02-21T10:13:49.596447Z,46.0,CT07DN9I,279,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b85191c0ea5529c95f6ad3,67713deebb236b91f2cd106a,APPROVED,Not Applicable,2025-02-21T10:12:38.776000Z,2025-02-21T10:13:14.408000Z,2025-02-21T10:13:15.110000Z,2025-02-21T10:13:15.022500Z,36.0,CT07DN9I,29,English,34,Female,Mixed,United States,United Kingdom,United States,English,No,Full-Time
67b8520cfd3c749a8046c4ed,62ac71cec3309a48781684eb,APPROVED,Not Applicable,2025-02-21T10:14:36.621000Z,2025-02-21T10:15:14.134000Z,2025-02-21T10:15:15.151000Z,2025-02-21T10:15:15.062226Z,38.0,CT07DN9I,1490,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b85230f90e4da03eaf8c2a,63d3f953f8fb0fe970f0d0c6,APPROVED,Not Applicable,2025-02-21T10:15:12.454000Z,2025-02-21T10:15:29.163000Z,2025-02-21T10:22:23.893000Z,2025-02-21T10:15:29.763616Z,17.0,CT07DN9I,1126,"Bulgarian, English",34,Female,White,Bulgaria,United Kingdom,United Kingdom,Bulgarian,No,Full-Time
67b8526d176af349da2ca8f8,63c80a427dfa1305502df5a8,RETURNED,Not Applicable,2025-02-21T10:26:13.717000Z,,,2025-02-21T10:30:03.320483Z,,,1999,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b8527a03ff38ea74af8aa0,6169ea2f9163a46bf5f356e2,APPROVED,Not Applicable,2025-02-21T10:16:34.944000Z,2025-02-21T10:17:08.788000Z,2025-02-21T10:17:09.564000Z,2025-02-21T10:17:09.490868Z,34.0,CT07DN9I,2303,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b8529efcdd93084c37e469,666aee590ad93e0d709d8a72,APPROVED,Not Applicable,2025-02-21T10:17:26.676000Z,2025-02-21T10:17:38.431000Z,2025-02-21T10:22:24.540000Z,2025-02-21T10:17:38.929623Z,12.0,CT07DN9I,502,English,18,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b852e594deb4457a640ebe,6730f2e20f5915ff4ad2c07d,APPROVED,Not Applicable,2025-02-21T10:18:52.903000Z,2025-02-21T10:19:15.512000Z,2025-02-21T10:22:25.070000Z,2025-02-21T10:19:17.177900Z,23.0,CT07DN9I,297,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b853032c650c7ceab9d8be,665c471006663c8ee2cd13a6,APPROVED,Not Applicable,2025-02-21T10:19:04.741000Z,2025-02-21T10:19:25.915000Z,2025-02-21T10:22:25.689000Z,2025-02-21T10:19:26.547181Z,22.0,CT07DN9I,632,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b853d38b7d1bf1d0dfbbfd,66649e9eb72745f04a4f733c,AWAITING REVIEW,Not Applicable,2025-02-21T10:22:16.159000Z,2025-02-21T10:22:57.440000Z,,2025-02-21T10:22:58.308012Z,42.0,C119OUC7,454,English,42,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
67b85454f8efa5ad19961de8,5e22d5c0aedc2c589eb1c8f7,APPROVED,Not Applicable,2025-02-21T10:24:25.013000Z,2025-02-21T10:24:43.635000Z,2025-02-21T10:25:13.162000Z,2025-02-21T10:24:44.203624Z,19.0,CT07DN9I,624,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b854ad665d5b9a1a4b4a55,677302ad15f7e3d0c1725fef,APPROVED,Not Applicable,2025-02-21T10:26:32.286000Z,2025-02-21T10:26:56.302000Z,2025-02-21T10:29:23.622000Z,2025-02-21T10:26:57.270095Z,25.0,CT07DN9I,52,English,18,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
